name,category,effect,sprite_url
Ability Capsule,Hold items,A capsule that allows a Pokémon with two Abilities to switch between these Abilities when it is used.,https://img.pokemondb.net/sprites/items/ability-capsule.png
Ability Patch,General items,Changes a Pokémon's ability to its Hidden Ability.,https://img.pokemondb.net/s.png
Ability Shield,,An item to be held by a Pokémon. This cute and rather unique-looking shield protects the holder from having its Ability changed by others.,https://img.pokemondb.net/s.png
Ability Urge,Battle items,"When used, it activates the Ability of an ally Pokémon.",https://img.pokemondb.net/sprites/items/ability-urge.png
Abomasite,Hold items,Enables Abomasnow to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/abomasite.png
Absolite,Hold items,Enables Absol to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/absolite.png
Absorb Bulb,Hold items,"A consumable bulb. If the holder is hit by a Water-type move, its Sp. Atk will rise.",https://img.pokemondb.net/sprites/items/absorb-bulb.png
Academy Ball,,"The academy’s standard-issue ball in a regulation size. Lots of students believe that if you kick it right on the academy emblem, it’ll fly in a straight line.",https://img.pokemondb.net/s.png
Academy Bottle,,"A bottle emblazoned with the academy’s emblem. It’s light, sturdy, and vacuum insulated, so it’ll keep your hots hot and your colds cold.",https://img.pokemondb.net/s.png
Academy Cup,,The academy’s standard-issue cup for picnicking. The careful design of its mouth makes it popular both inside and outside the academy.,https://img.pokemondb.net/s.png
Academy Tablecloth,,The academy’s standard-issue tablecloth. It’s made with the latest fiber-processing technology and is so tough that not even a Razor Claw can tear it.,https://img.pokemondb.net/s.png
Adamant Crystal,Hold items,,https://img.pokemondb.net/s.png
Adamant Mint,Battle items,Changes the Pokémon's stats to match the Adamant nature.,https://img.pokemondb.net/s.png
Adamant Orb,Hold items,Increases the power of Dragon- and Steel-type moves when held by Dialga.,https://img.pokemondb.net/sprites/items/adamant-orb.png
Adrenaline Orb,Hold items,"Using it makes wild Pokémon more likely to call for help. If held by a Pokémon, it boosts Speed when intimidated. It can be used only once.",https://img.pokemondb.net/sprites/items/adrenaline-orb.png
Aerodactylite,Hold items,Enables Aerodactyl to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/aerodactylite.png
Aggronite,Hold items,Enables Aggron to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/aggronite.png
Aguav Berry,Berries,"Restores HP if it's low, but may cause confusion.",https://img.pokemondb.net/sprites/items/aguav-berry.png
Air Balloon,Hold items,"When held by a Pokémon, the Pokémon will float into the air. When the holder is attacked, this item will burst.",https://img.pokemondb.net/sprites/items/air-balloon.png
Alakazite,Hold items,Enables Alakazam to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/alakazite.png
Alomomola Mucus,General items,"Material obtained after defeating/catching Alomomola, used in TM crafting.",https://img.pokemondb.net/s.png
