number,name,base_name,form_name,primary_type,secondary_type,total,hp,attack,defense,sp_atk,sp_def,speed,link,sprite_url
0001,Bulbasaur,Bulbasaur,,Grass,Poison,318,45,49,49,65,65,45,https://pokemondb.net/pokedex/bulbasaur,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/bulbasaur.avif
0002,Ivysaur,Ivysaur,,Grass,Poison,405,60,62,63,80,80,60,https://pokemondb.net/pokedex/ivysaur,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/ivysaur.avif
0003,Venusaur,Venusaur,,Grass,Poison,525,80,82,83,100,100,80,https://pokemondb.net/pokedex/venusaur,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/venusaur.avif
0003,Venusaur (Mega Venusaur),Venusaur,Mega Venusaur,Grass,Poison,625,80,100,123,122,120,80,https://pokemondb.net/pokedex/venusaur,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/venusaur-mega.avif
0004,Charmander,Charmander,,Fire,,309,39,52,43,60,50,65,https://pokemondb.net/pokedex/charmander,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/charmander.avif
0005,Charmeleon,Charmeleon,,Fire,,405,58,64,58,80,65,80,https://pokemondb.net/pokedex/charmeleon,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/charmeleon.avif
0006,Charizard,Charizard,,Fire,Flying,534,78,84,78,109,85,100,https://pokemondb.net/pokedex/charizard,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/charizard.avif
0006,Charizard (Mega Charizard X),Charizard,Mega Charizard X,Fire,Dragon,634,78,130,111,130,85,100,https://pokemondb.net/pokedex/charizard,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/charizard-mega-x.avif
0006,Charizard (Mega Charizard Y),Charizard,Mega Charizard Y,Fire,Flying,634,78,104,78,159,115,100,https://pokemondb.net/pokedex/charizard,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/charizard-mega-y.avif
0007,Squirtle,Squirtle,,Water,,314,44,48,65,50,64,43,https://pokemondb.net/pokedex/squirtle,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/squirtle.avif
0008,Wartortle,Wartortle,,Water,,405,59,63,80,65,80,58,https://pokemondb.net/pokedex/wartortle,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/wartortle.avif
0009,Blastoise,Blastoise,,Water,,530,79,83,100,85,105,78,https://pokemondb.net/pokedex/blastoise,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/blastoise.avif
0009,Blastoise (Mega Blastoise),Blastoise,Mega Blastoise,Water,,630,79,103,120,135,115,78,https://pokemondb.net/pokedex/blastoise,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/blastoise-mega.avif
0010,Caterpie,Caterpie,,Bug,,195,45,30,35,20,20,45,https://pokemondb.net/pokedex/caterpie,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/caterpie.avif
0011,Metapod,Metapod,,Bug,,205,50,20,55,25,25,30,https://pokemondb.net/pokedex/metapod,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/metapod.avif
0012,Butterfree,Butterfree,,Bug,Flying,395,60,45,50,90,80,70,https://pokemondb.net/pokedex/butterfree,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/butterfree.avif
0013,Weedle,Weedle,,Bug,Poison,195,40,35,30,20,20,50,https://pokemondb.net/pokedex/weedle,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/weedle.avif
0014,Kakuna,Kakuna,,Bug,Poison,205,45,25,50,25,25,35,https://pokemondb.net/pokedex/kakuna,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/kakuna.avif
0015,Beedrill,Beedrill,,Bug,Poison,395,65,90,40,45,80,75,https://pokemondb.net/pokedex/beedrill,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/beedrill.avif
0015,Beedrill (Mega Beedrill),Beedrill,Mega Beedrill,Bug,Poison,495,65,150,40,15,80,145,https://pokemondb.net/pokedex/beedrill,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/beedrill-mega.avif
0016,Pidgey,Pidgey,,Normal,Flying,251,40,45,40,35,35,56,https://pokemondb.net/pokedex/pidgey,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/pidgey.avif
0017,Pidgeotto,Pidgeotto,,Normal,Flying,349,63,60,55,50,50,71,https://pokemondb.net/pokedex/pidgeotto,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/pidgeotto.avif
0018,Pidgeot,Pidgeot,,Normal,Flying,479,83,80,75,70,70,101,https://pokemondb.net/pokedex/pidgeot,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/pidgeot.avif
0018,Pidgeot (Mega Pidgeot),Pidgeot,Mega Pidgeot,Normal,Flying,579,83,80,80,135,80,121,https://pokemondb.net/pokedex/pidgeot,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/pidgeot-mega.avif
0019,Rattata,Rattata,,Normal,,253,30,56,35,25,35,72,https://pokemondb.net/pokedex/rattata,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/rattata.avif
0019,Rattata (Alolan Rattata),Rattata,Alolan Rattata,Dark,Normal,253,30,56,35,25,35,72,https://pokemondb.net/pokedex/rattata,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/rattata-alolan.avif
0020,Raticate,Raticate,,Normal,,413,55,81,60,50,70,97,https://pokemondb.net/pokedex/raticate,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/raticate.avif
0020,Raticate (Alolan Raticate),Raticate,Alolan Raticate,Dark,Normal,413,75,71,70,40,80,77,https://pokemondb.net/pokedex/raticate,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/raticate-alolan.avif
0021,Spearow,Spearow,,Normal,Flying,262,40,60,30,31,31,70,https://pokemondb.net/pokedex/spearow,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/spearow.avif
0022,Fearow,Fearow,,Normal,Flying,442,65,90,65,61,61,100,https://pokemondb.net/pokedex/fearow,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/fearow.avif
0023,Ekans,Ekans,,Poison,,288,35,60,44,40,54,55,https://pokemondb.net/pokedex/ekans,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/ekans.avif
0024,Arbok,Arbok,,Poison,,448,60,95,69,65,79,80,https://pokemondb.net/pokedex/arbok,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/arbok.avif
0025,Pikachu,Pikachu,,Electric,,320,35,55,40,50,50,90,https://pokemondb.net/pokedex/pikachu,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/pikachu.avif
0025,Pikachu (Partner Pikachu),Pikachu,Partner Pikachu,Electric,,430,45,80,50,75,60,120,https://pokemondb.net/pokedex/pikachu,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/pikachu-lets-go.avif
0026,Raichu,Raichu,,Electric,,485,60,90,55,90,80,110,https://pokemondb.net/pokedex/raichu,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/raichu.avif
0026,Raichu (Alolan Raichu),Raichu,Alolan Raichu,Electric,Psychic,485,60,85,50,95,85,110,https://pokemondb.net/pokedex/raichu,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/raichu-alolan.avif
0027,Sandshrew,Sandshrew,,Ground,,300,50,75,85,20,30,40,https://pokemondb.net/pokedex/sandshrew,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/sandshrew.avif
0027,Sandshrew (Alolan Sandshrew),Sandshrew,Alolan Sandshrew,Ice,Steel,300,50,75,90,10,35,40,https://pokemondb.net/pokedex/sandshrew,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/sandshrew-alolan.avif
0028,Sandslash,Sandslash,,Ground,,450,75,100,110,45,55,65,https://pokemondb.net/pokedex/sandslash,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/sandslash.avif
0028,Sandslash (Alolan Sandslash),Sandslash,Alolan Sandslash,Ice,Steel,450,75,100,120,25,65,65,https://pokemondb.net/pokedex/sandslash,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/sandslash-alolan.avif
0029,Nidoran♀,Nidoran♀,,Poison,,275,55,47,52,40,40,41,https://pokemondb.net/pokedex/nidoran-f,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/nidoran-f.avif
0030,Nidorina,Nidorina,,Poison,,365,70,62,67,55,55,56,https://pokemondb.net/pokedex/nidorina,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/nidorina.avif
0031,Nidoqueen,Nidoqueen,,Poison,Ground,505,90,92,87,75,85,76,https://pokemondb.net/pokedex/nidoqueen,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/nidoqueen.avif
0032,Nidoran♂,Nidoran♂,,Poison,,273,46,57,40,40,40,50,https://pokemondb.net/pokedex/nidoran-m,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/nidoran-m.avif
0033,Nidorino,Nidorino,,Poison,,365,61,72,57,55,55,65,https://pokemondb.net/pokedex/nidorino,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/nidorino.avif
0034,Nidoking,Nidoking,,Poison,Ground,505,81,102,77,85,75,85,https://pokemondb.net/pokedex/nidoking,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/nidoking.avif
0035,Clefairy,Clefairy,,Fairy,,323,70,45,48,60,65,35,https://pokemondb.net/pokedex/clefairy,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/clefairy.avif
0036,Clefable,Clefable,,Fairy,,483,95,70,73,95,90,60,https://pokemondb.net/pokedex/clefable,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/clefable.avif
